PRODUCT (Click to open in Browser),PRODUCT ID,PHYSICAL,LOGICAL,GMI FC,R&N A.C.N,GROUP,CLEARING ADMIN,CLEARING VENUE,MIC CODE,MARKET TYPE NAME,SYMBOL CODE
Palo Verde Day-Ahead Off-Peak Fixed Price Future,503,OVP,OVP,OR,NI03,Electricity,Pwr West OPTerm,ICEU,IFED,Financial Power,OVP
Palo Verde Day-Ahead Peak Daily Fixed Price Future,751,VDP,VDP,VD,OU49,Electricity,Pwr West Daily,ICEU,IFED,Financial Power,VDP
Palo Verde Day-Ahead Peak Daily Mini Fixed Price Future,27013,VDQ,VDQ,,,Electricity,Pwr W DailyMini,ICEU,IFED,Financial Power,VDQ
Palo Verde Day-Ahead Peak Fixed Price Future,287,PVM,PVM,PV,O940,Electricity,Pwr West Term,ICEU,IFED,Financial Power,PVM
Panamax Timecharter (Baltic) Freight Future,2946,TCP,TCP,@8,,Dry Freight,Dry Freight Day,ICEU,IFEU,Dry Freight,TCP
Panhandle Basis Future,435,PAN,PAN,NK,NE87,Natural Gas,Midcont Basis,ICEU,IFED,Financial Gas,PAN
Panhandle Fixed Price Future,3712,OPP,OPP,PY,,Natural Gas,Basis Master,ICEU,IFED,Financial Gas,OPP
Panhandle Index Future,459,PIS,PIS,Y9,QM90,Natural Gas,Midcont Index,ICEU,IFED,Financial Gas,PIS
Panhandle Physical Basis LD1,1266,XIL,XIL,,,Natural Gas,Pan MO Phys Gas,NGXC,IEPA,Physical Gas,XIL
Panhandle Physical Fixed Price Monthly,1273,XII,XII,,,Natural Gas,Pan MO Phys Gas,NGXC,IEPA,Physical Gas,XII
Panhandle Physical Fixed Price Spot,1274,XIH,XIH,,,Natural Gas,Pan BM Phys Gas,NGXC,IEPA,Physical Gas,XIH
Panhandle Physical Gas Daily Monthly,1282,XIK,XIK,,,Natural Gas,Pan MO Phys Gas,NGXC,IEPA,Physical Gas,XIK
Panhandle Physical Gas Daily Spot,1283,XIJ,XIJ,,,Natural Gas,Pan BM Phys Gas,NGXC,IEPA,Physical Gas,XIJ
Panhandle Physical Inside FERC,1287,XIM,XIM,,,Natural Gas,Pan MO Phys Gas,NGXC,IEPA,Physical Gas,XIM
Panhandle Swing Future,470,PSS,PSS,YW,QM80,Natural Gas,Midcont Swing,ICEU,IFED,Financial Gas,PSS
Pearson Plc,9515,PSO,PSO,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,PSO
Pennsylvania Compliance Alternative Energy Credit Tier I Future,20106,PAR,PAR,JL,,Physical Environmental,REC-PA C1,ICEU,IFED,Physical Environmental,PAR
Pennsylvania Compliance Alternative Energy Credit Tier I Prior Year Future,23795,PAY,PAY,PL,,Physical Environmental,REC-PA C1,ICEU,IFED,Physical Environmental,PAY
Pennsylvania Solar Alternative Energy Credit Future,20108,PAX,PAX,JN,,Physical Environmental,SREC-PA C1,ICEU,IFED,Physical Environmental,PAX
Pennsylvania Solar Alternative Energy Credit Prior Year Future,23796,PSP,PSP,PN,,Physical Environmental,SREC-PA C1,ICEU,IFED,Physical Environmental,PSP
Permian WTI Storage Future,22317,HOS,HOS,LZ,,Crude Oil and Refined Products,Permian WTI,ICEU,IFEU,Permian WTI Futures,HOS
PetChem Diff – Paraxylene CFR Taiwan/China (Platts) vs Naphtha C+F Japan Cargoes (Platts) Future,27057,PCB,PCB,,,Petrochemicals,Ref Diffs mt,ICEU,IFEU,Oil,PCB
PetChem Outright – Paraxylene CFR Taiwan/China (Platts) Future,27056,PCA,PCA,,,Petrochemicals,Ref Outright mt,ICEU,IFEU,Oil,PCA
Petrofac Ltd,9418,PET,PET,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,PET
Philips Electronics NV,21901,PHQ,PHQ,,,Endex Derivatives,IMEQ ENX AMS,ICNL,IMEQ,Endex Single Stock Options,PHQ
Pine Prairie Basis Future,23371,CVI,CVI,M<,,Natural Gas,Southeast Basis,ICEU,IFED,Financial Gas,CVI
Pine Prairie Basis Future Lots,23372,CVI,CVI,M<,,Natural Gas,Southeast Basis,ICEU,IFED,Financial Gas,CVI
Pine Prairie Index Future,23373,CVJ,CVJ,M-,,Natural Gas,Southeast Index,ICEU,IFED,Financial Gas,CVJ
Pine Prairie Physical Basis LD1,21247,YV9,YV9,,,Natural Gas,PPrai MOPhysGas,NGXC,IEPA,Physical Gas,YV9
Pine Prairie Physical Fixed Price Monthly,21246,YV8,YV8,,,Natural Gas,PPrai MOPhysGas,NGXC,IEPA,Physical Gas,YV8
Pine Prairie Physical Fixed Price Spot,21244,YV7,YV7,,,Natural Gas,PPrai SPPhysGas,NGXC,IEPA,Physical Gas,YV7
Pine Prairie Physical Gas Daily Monthly,23922,BK1,BK1,,,Natural Gas,PPrai MOPhysGas,NGXC,IEPA,Physical Gas,BK1
Pine Prairie Physical Gas Daily Spot,23920,Z5J,Z5J,,,Natural Gas,PPrai SPPhysGas,NGXC,IEPA,Physical Gas,BK0
Pine Prairie Physical Inside FERC,23923,BK2,BK2,,,Natural Gas,PPrai MOPhysGas,NGXC,IEPA,Physical Gas,BK2
Pine Prairie Swing Future,23374,CVK,CVK,M/,,Natural Gas,Southeast Swing,ICEU,IFED,Financial Gas,CVK
Platts LNG Derivatives Swap,24956,JKM,JKM,K\,,Natural Gas,LNG JKM,Bilateral,ICES,Platts Financial LNG,JKM
"Polymer Grade Propylene (PGP), OPIS PCW Mont Belvieu Balmo Future",21823,PPN,PPN,MZ,,Petrochemicals,Olefins Master,ICEU,IFED,Financial Olefins,PPN
"Polymer Grade Propylene (PGP), OPIS PCW Mont Belvieu Future",5785,PPL,PPL,3-,,Petrochemicals,Olefins Master,ICEU,IFED,Financial Olefins,PPL
PostNL NV,21903,POO,POO,,,Endex Derivatives,IMEQ ENX AMS,ICNL,IMEQ,Endex Single Stock Options,POO
Premium Unleaded Gasoline 10ppm CIF NWE Cargoes (Platts) Future,4671,UCE,UCE,QY,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,UCE
Premium Unleaded Gasoline 10ppm FOB Med Cargoes Balmo Future,21847,UCC,UCC,QO,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,UCC
Premium Unleaded Gasoline 10ppm FOB Med Cargoes Balmo Swap,4081,UCC,UCC,QO,,Crude Oil and Refined,Ref Outright mt,Bilateral,ICES,Oil,UCC
Premium Unleaded Gasoline 10ppm FOB Med Cargoes Future,3558,UCB,UCB,WW,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,UCB
Premium Unleaded Gasoline 10ppm FOB Med Cargoes Swap,3558,UCB,UCB,WW,,Crude Oil and Refined,Ref Outright mt,Bilateral,ICES,Oil,UCB
Propane - Daily Argus Far East Mini Future,21738,AFD,AFD,LI,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,AFD
"Propane, Argus CIF ARA Average Price Options",15575,APC,APC,A6,SN16,Natural Gas Liquids,O-NGL Master,ICEU,IFED,Financial NGL,APC
"Propane, Argus CIF ARA Mini Future",19095,AFM,AFM,AC,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,AFM
"Propane, Argus CIF ARA vs Brent 1st Line Future (in MTs)",27005,PRR,PRR,,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,PRR
"Propane, Argus CIF ARA vs Brent 1st Line Future (in bbls)",27004,PRQ,PRQ,,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,PRQ
"Propane, Argus CIF ARA vs Naphtha CIF NWE Cargoes (Platts) Balmo Future",21802,ABG,ABG,M1,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,ABG
"Propane, Argus CIF ARA vs Naphtha, Platts CIF NWE Cargoes (Platts) Future",3261,APN,APN,U<,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,APN
"Propane, Argus CIF ARA, Fixed Price Balmo Future",21805,APD,APD,M2,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,APD
"Propane, Argus CIF ARA, Mini Balmo Future",25011,AFA,AFA,,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,AFA
"Propane, Argus Far East Index (AFEI)  Average Price Options",18897,AFE,AFE,QS,,Natural Gas Liquids,O-NGL Master,ICEU,IFED,Financial NGL,AFE
"Propane, Argus Far East Index (AFEI) Mini Balmo Future",25012,AFT,AFT,,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,AFT
"Propane, Argus Far East Index (AFEI) Mini Future",19102,AFL,AFL,AB,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,AFL
"Propane, Argus Far East Index (AFEI) vs Naphtha C+F Japan Cargoes (Platts) Future",18421,ARR,ARR,6T,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,ARR
"Propane, Argus Far East Index (AFEI) vs Propane, Argus CIF ARA Future",3262,EGD,EGD,T#,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,EGD
"Propane, Argus Far East Index vs Naphtha C+F Japan (Platts) Balmo Future",21803,ABK,ABK,M3,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,ABK
"Propane, Argus Far East vs. Propane, Argus CIF ARA, Differential Balmo Future",21810,EGE,EGE,M4,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,EGE
"Propane, Argus Far East, Fixed Price Future (Balmo)",21804,AFF,AFF,M5,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,AFF
"Propane, Argus Ningbo Index (ANI) Balmo Future",27007,PRT,PRT,,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,PRT
"Propane, Argus Ningbo Index (ANI) Future",27006,PRS,PRS,,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,PRS
"Propane, Argus Ningbo Index (ANI) Mini Future",27008,PRU,PRU,,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,PRU
"Propane, Argus Saudi CP Mini Future",19101,AFK,SCP,AA,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,AFK
"Propane, Argus Sonatrach CP Future",19097,AFS,AFS,AD,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,AFS
"Propane, OPIS Conway In-Well Average Price Options",4848,PRC,PRC,ZH,QM98,Natural Gas Liquids,O-NGL Master,ICEU,IFED,Financial NGL,PRC
"Propane, OPIS Conway In-Well Future",1637,PRC,PRC,ZH,QM98,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,PRC
"Propane, OPIS Conway In-Well, Fixed Price Balmo Future",21824,PRD,PRD,M0,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,PRD
"Propane, OPIS Edmonton Future",25013,EDO,EDO,,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,EDO
"Propane, OPIS Hattiesburg Future",3263,PRH,PRH,U(,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,PRH
"Propane, OPIS Mt. Belvieu Non-TET Future",1899,PRN,PRN,A5,SN15,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,PRN
"Propane, OPIS Mt. Belvieu Non-TET vs Propane, Argus CIF ARA Future",19487,CEJ,CEJ,HP,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,CEJ
"Propane, OPIS Mt. Belvieu Non-TET vs Propane, Far East Index (AFEI) Future",18425,CEZ,CEZ,63,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,CEZ
"Propane, OPIS Mt. Belvieu Non-TET, Fixed Price Balmo Future",21826,PRO,PRO,M6,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,PRO
"Propane, OPIS Mt. Belvieu Other Non-TET Balmo Future",21822,PBP,PBP,M7,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,PBP
"Propane, OPIS Mt. Belvieu Other Non-TET Future",18423,PBO,PBO,8\,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,PBO
"Propane, OPIS Mt. Belvieu TET Average Price Options",4845,PRL,PRL,RL,QJ66,Natural Gas Liquids,O-NGL Master,ICEU,IFED,Financial NGL,PRL
"Propane, OPIS Mt. Belvieu TET Mini Future",4188,PLM,PLM,K>,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,PLM
"Propane, OPIS Mt. Belvieu TET vs Propane, Far East Index (AFEI) Future",18424,CEY,CEY,62,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,CEY
"Propane, OPIS Mt. Belvieu TET, Fixed Price Balmo Future",21825,PRM,PRM,M8,,Natural Gas Liquids,NGL Master,ICEU,IFED,Financial NGL,PRM
"Propylene, I.C.I.S. CFR NE Asia Future",26880,PNE,PNE,,,Petrochemicals,Olefins Master,ICEU,IFED,Financial Olefins,PNE
"Propylene, I.C.I.S. CFR SE Asia Future",26881,PSE,PSE,,,Petrochemicals,Olefins Master,ICEU,IFED,Financial Olefins,PSE
Prudential plc,26486,PDN,PDN,,,Single Stock Options,LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,PDN
Prudential plc Ex-Event,23964,PRA,PRA,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,PU2
Quilter plc,20576,QUT,QUL,,,Single Stock Options,LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,QUT
RBOB Gasoline 1st Line Future,3072,RBS,UHU,M(,,Crude Oil and Refined Products,Am Ref bbl,ICEU,IFED,Oil Americas,RBS
RBOB Gasoline 1st Line Mini Future,5034,RBM,RBM,RU,EH80,Crude Oil and Refined Products,Am Ref bbl,ICEU,IFED,Oil Americas,RBM
RBOB Gasoline American-Style Options,3994,N,UHU,ON,NF70,Crude Oil and Refined Products,O-ICE RBOBGas,ICEU,IFEU,ICE NYH (RBOB) Gasoline Futures,UHU
RBOB Gasoline Average Price Option,4829,RBS,UHU,M(,,Crude Oil and Refined Products,O-Am Ref bbl,ICEU,IFED,Oil Americas,RBS
REX Cheyenne Comp Pool Physical Basis LD1,25716,ZAC,ZAC,,,Natural Gas,RexC MOPhysGas,NGXC,IEPA,Physical Gas,ZAC
REX Cheyenne Comp Pool Physical Fixed Price Monthly,25713,ZAA,ZAA,,,Natural Gas,RexC MOPhysGas,NGXC,IEPA,Physical Gas,ZAA
REX Cheyenne Comp Pool Physical Fixed Price Spot,25714,ZAB,ZAB,,,Natural Gas,RexC BMPhysGas,NGXC,IEPA,Physical Gas,ZAB
REX Cheyenne Comp Pool Physical Gas Daily Monthly,25717,ZAD,ZAD,,,Natural Gas,RexC MOPhysGas,NGXC,IEPA,Physical Gas,ZAD
REX Cheyenne Comp Pool Physical Gas Daily Spot,25718,ZAE,ZAE,,,Natural Gas,RexC BMPhysGas,NGXC,IEPA,Physical Gas,ZAE
REX Cheyenne Comp Pool Physical Inside FERC,25720,ZAF,ZAF,,,Natural Gas,RexC MOPhysGas,NGXC,IEPA,Physical Gas,ZAF
REX Zone 3 Basis Future,18620,REX,REX,6R,,Natural Gas,Upper MW Basis,ICEU,IFED,Financial Gas,REX
REX Zone 3 Fixed Price Future,22274,REH,REH,L7,,Natural Gas,Basis Master,ICEU,IFED,Financial Gas,REH
REX Zone 3 Index Future,18622,REI,REI,6U,,Natural Gas,Upper MW Index,ICEU,IFED,Financial Gas,REI
REX Zone 3 Swing Future,18621,RES,RES,6S,,Natural Gas,Upper MW Swing,ICEU,IFED,Financial Gas,RES
Randstad Holdings NV,21905,RFO,RFO,,,Endex Derivatives,IMEQ ENX AMS,ICNL,IMEQ,Endex Single Stock Options,RFO
Reckitt Benckiser Group Plc,15743,RBE,RBE,OU,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,RBE
Regional Greenhouse Gas Initiative Allowance Auction Clearing Price,22325,RCP,RCP,L#,,Physical Environmental,RGGI,ICEU,IFED,Physical Environmental,RCP
Regional Greenhouse Gas Initiative Vintage 2016 Future,5742,RGO,RGO,5#,,Physical Environmental,RGGI,ICEU,IFED,Physical Environmental,RGO
Regional Greenhouse Gas Initiative Vintage 2017 Future,18397,RGP,RGP,99,,Physical Environmental,RGGI,ICEU,IFED,Physical Environmental,RGP
Regional Greenhouse Gas Initiative Vintage 2021 Future,20505,RGT,RGT,LT,,Physical Environmental,RGGI,ICEU,IFED,Physical Environmental,RGT
Regional Greenhouse Gas Initiative Vintage 2022 Future,23427,RGU,RGU,NO,,Physical Environmental,RGGI,ICEU,IFED,Physical Environmental,RGU
Regional Greenhouse Gas Initiative Vintage 2023  Future,23627,RJ3,RJ3,O6,,Physical Environmental,RGGI,ICEU,IFED,Physical Environmental,RJ3
Relx NV,21907,RKQ,RKQ,,,Endex Derivatives,IMEQ ENX AMS,ICNL,IMEQ,Endex Single Stock Options,RKQ
Relx plc,9699,REI,REI,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,REI
Rentokil Initial Plc,9837,RTO,RTO,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,RTO
Rex E-ANR Physical Basis LD1,16205,YAU,YAU,,,Natural Gas,REXE MOPhys Gas,NGXC,IEPA,Physical Gas,YAU
Rex E-ANR Physical Fixed Price Monthly,16202,YAT,YAT,,,Natural Gas,REXE MOPhys Gas,NGXC,IEPA,Physical Gas,YAT
Rex E-ANR Physical Fixed Price Spot,16204,YAS,YAS,,,Natural Gas,REXE SPPhys Gas,NGXC,IEPA,Physical Gas,YAS
Rex E-ANR Physical Gas Daily Monthly,16206,YAW,YAW,,,Natural Gas,REXE MOPhys Gas,NGXC,IEPA,Physical Gas,YAW
Rex E-ANR Physical Gas Daily Spot,16208,YAV,YAV,,,Natural Gas,REXE SPPhys Gas,NGXC,IEPA,Physical Gas,YAV
Rex E-ANR Physical Natural Gas Intelligence,16209,YAX,YAX,,,Natural Gas,REXE MOPhys Gas,NGXC,IEPA,Physical Gas,YAX
Rio Tinto Plc,9839,RTZ,RTZ,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,RTZ
Robusta Coffee 1-Month Calendar Spread Option,20442,RC1,RC1,C1,,Coffee,Robusta,ICEU,IFLX,Liffe Commodities,RC1
Robusta Coffee 2-Month Calendar Spread Option,20443,RC2,RC2,C2,,Coffee,Robusta,ICEU,IFLX,Liffe Commodities,RC2
Robusta Coffee Options,15255,RC,RC,RC,,Coffee,O-Robusta,ICEU,IFLX,Liffe Commodities,RC
Rolls-Royce Holdings Plc,9824,RR,RR,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,RR
Royal Bank Of Scotland Group Plc,9667,RBS,RBS,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,RBS
Royal Dutch Shell Plc A,9960,SHA,SHA,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,SHA
Royal Dutch Shell Plc A Euro,21909,RDQ,RDQ,,,Endex Derivatives,IMEQ ENX AMS,ICNL,IMEQ,Endex Single Stock Options,RDQ
Royal Dutch Shell Plc B,9964,SHL,SHL,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,SHL
Royal Mail Plc,9787,RMU,RMU,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,RMU
SPP North Hub Day-Ahead Off-Peak Daily Fixed Price Future,15879,SNO,SNO,?R,,Electricity,Pwr EastOPDaily,ICEU,IFED,Financial Power,SNO
SPP North Hub Day-Ahead Off-Peak Fixed Price Future,5769,FNO,FNO,50,,Electricity,Pwr East OPMini,ICEU,IFED,Financial Power,FNO
SPP North Hub Day-Ahead Peak Daily Fixed Price Future,15878,SNR,SNR,?Q,,Electricity,Pwr East Daily,ICEU,IFED,Financial Power,SNR
SPP North Hub Day-Ahead Peak Fixed Price Future,5768,FNP,FNP,59,,Electricity,Pwr East Mini,ICEU,IFED,Financial Power,FNP
SPP North Real-Time Off-Peak Daily Fixed Price Future,19132,SPX,SPX,@P,,Electricity,Pwr EastOPDaily,ICEU,IFED,Financial Power,SPX
SPP North Real-Time Peak Daily Fixed Price Future,19131,SPW,SPW,@N,,Electricity,Pwr East Daily,ICEU,IFED,Financial Power,SPW
SPP South Hub Day-Ahead Off-Peak Daily Fixed Price Future,15562,SPF,SPF,*E,,Electricity,Pwr EastOPDaily,ICEU,IFED,Financial Power,SPF
SPP South Hub Day-Ahead Off-Peak Fixed Price Future,5771,FSO,FSO,5(,,Electricity,Pwr East OPMini,ICEU,IFED,Financial Power,FSO
SPP South Hub Day-Ahead Peak Daily Fixed Price Future,15561,SPD,SPD,*D,,Electricity,Pwr East Daily,ICEU,IFED,Financial Power,SPD
SPP South Hub Day-Ahead Peak Fixed Price Future,5770,FSP,FSP,5<,,Electricity,Pwr East Mini,ICEU,IFED,Financial Power,FSP
SPP South Hub Real-Time Off-Peak Daily Fixed Price Future,15881,SSO,SSO,?T,,Electricity,Pwr EastOPDaily,ICEU,IFED,Financial Power,SSO
SPP South Hub Real-Time Peak Daily Fixed Price Future,15880,SSR,SSR,?S,,Electricity,Pwr East Daily,ICEU,IFED,Financial Power,SSR
SSE PLC,10099,SSE,SSE,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,SSE
Sage Group Plc (THE),9946,SGE,SGE,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,SGE
Sainsbury (J) PLC,9881,SAN,SAN,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,SAN
Schroders Plc,9917,SDS,SDS,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,SDR
Serco Group,10088,SRP,SRP,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,SRP
Severn Trent Plc,9929,SVT,SVT,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,SEV
Short BTP Future,6443,I02,I02,,,Medium/Long Term Interest Rates,ITA Bond Fut,ICEU,IFLL,Liffe Bonds,I02
Short Bund Future (Schatz),6437,G02,G02,,,Medium/Long Term Interest Rates,DEU Bond Fut,ICEU,IFLL,Liffe Bonds,G02
Short Gilt Future,6441,G,G,,,Medium/Long Term Interest Rates,Gilt Bond Fut,ICEU,IFLL,Liffe Bonds,G
Short Spanish Government Bond Future,6447,S02,S02,,,Medium/Long Term Interest Rates,ESP Bond Fut,ICEU,IFLL,Liffe Bonds,S02
Singapore Gasoil Balmo Swap,20032,GSS,GSS,QA,,Crude Oil and Refined,RefOutright bbl,Bilateral,ICES,Platts Oil,GSS
Singapore Gasoil Swap,20031,GST,GST,HZ,,Crude Oil and Refined,RefOutright bbl,Bilateral,ICES,Platts Oil,GST
Singapore Jet Kerosene Balmo Swap,1728,SBJ,SBJ,9V,,Crude Oil and Refined,RefOutright bbl,Bilateral,ICES,Platts Oil,SBJ
Singapore Jet Kerosene Swap,124,SRS,SRS,SR,QH61,Crude Oil and Refined,RefOutright bbl,Bilateral,ICES,Oil,SRS
Singapore Mogas 92 Unleaded Balmo Swap,5269,SMU,SMU,QB,,Crude Oil and Refined,RefOutright bbl,Bilateral,ICES,Oil,SMU
Singapore Mogas 92 Unleaded Swap,3970,SMT,SMT,V\,,Crude Oil and Refined,RefOutright bbl,Bilateral,ICES,Oil,SMT
Singapore Mogas 92 Unleaded vs Brent 1st Line Future,4360,STB,STB,ST,,Crude Oil and Refined Products,Ref Diffs bbl,ICEU,IFEU,Oil,STB
Singapore Mogas 95 Unleaded (Platts) Future,3971,SMF,SMF,W\,,Crude Oil and Refined Products,RefOutright bbl,ICEU,IFEU,Oil,SMF
Singapore Mogas 95 Unleaded vs Brent 1st Line Future,4361,SFB,SFB,SF,,Crude Oil and Refined Products,Ref Diffs bbl,ICEU,IFEU,Oil,SFB
Singapore Mogas 97 Unleaded vs Brent 1st Line Future,4362,SSB,SSB,SS,,Crude Oil and Refined Products,Ref Diffs bbl,ICEU,IFEU,Oil,SSB
Singapore Naphtha Balmo Future,21835,NPU,NPU,QH,,Crude Oil and Refined Products,RefOutright bbl,ICEU,IFEU,Oil,NPU
Singapore Naphtha Future,95,NPT,NPT,Q1,,Crude Oil and Refined Products,RefOutright bbl,ICEU,IFEU,Oil,NPT
Smith and Nephew Plc,10035,SNP,SNP,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,SNP
Smiths Group Plc,10026,SMS,SMS,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,SMS
Socal Border Basis Future,455,SCL,SCL,NS,NA86,Natural Gas,Southwest Basis,ICEU,IFED,Financial Gas,SCL
Socal Border Index Future,464,SIS,SIS,ZA,QM91,Natural Gas,Southwest Index,ICEU,IFED,Financial Gas,SIS
Socal Border Swing Future,469,SSS,SSS,SS,QI05,Natural Gas,Southwest Swing,ICEU,IFED,Financial Gas,SSS
Socal Citygate Basis Future,1463,SCB,SCB,Y0,QM84,Natural Gas,Southwest Basis,ICEU,IFED,Financial Gas,SCB
Socal Citygate Fixed Price Future,23375,CVL,CVL,M\,,Natural Gas,Basis Master,ICEU,IFED,Financial Gas,CVL
Socal Citygate Index Future,1630,SCI,SCI,Y4,QM86,Natural Gas,Southwest Index,ICEU,IFED,Financial Gas,SCI
Socal Citygate Physical Basis LD1,1842,XKJ,XKJ,,,Natural Gas,Socl MO PhysGas,NGXC,IEPA,Physical Gas,XKJ
Socal Citygate Physical Fixed Price Monthly,1836,XKG,XKG,,,Natural Gas,Socl MO PhysGas,NGXC,IEPA,Physical Gas,XKG
Socal Citygate Physical Fixed Price Spot,1838,XKF,XKF,,,Natural Gas,Socl SP PhysGas,NGXC,IEPA,Physical Gas,XKF
Socal Citygate Physical Gas Daily Monthly,1839,XKI,XKI,,,Natural Gas,Socl MO PhysGas,NGXC,IEPA,Physical Gas,XKI
Socal Citygate Physical Gas Daily Spot,1841,XKH,XKH,,,Natural Gas,Socl SP PhysGas,NGXC,IEPA,Physical Gas,XKH
Socal Citygate Physical Natural Gas Intelligence,1843,XKK,XKK,,,Natural Gas,Socl MO PhysGas,NGXC,IEPA,Physical Gas,XKK
Socal Citygate Swing Future,1462,SCS,SCS,YR,QM75,Natural Gas,Southwest Swing,ICEU,IFED,Financial Gas,SCS
Socal Fixed Price Future,3714,OPS,OPS,SC,,Natural Gas,Basis Master,ICEU,IFED,Financial Gas,OPS
Sonat Basis Future,1878,SON,SON,AW,SN06,Natural Gas,Southeast Basis,ICEU,IFED,Financial Gas,SON
Sonat Index Future,3033,SOI,SOI,AQ,,Natural Gas,Southeast Index,ICEU,IFED,Financial Gas,SOI
Sonat Swing Future,3041,SOS,SOS,AR,,Natural Gas,Southeast Swing,ICEU,IFED,Financial Gas,SOS
Sonat Z0 South Physical Basis LD1,15936,YEV,YEV,,,Natural Gas,ST1 MOPhys Gas,NGXC,IEPA,Physical Gas,YEV
Sonat Z0 South Physical Fixed Price Monthly,15933,YEU,YEU,,,Natural Gas,ST1 MOPhys Gas,NGXC,IEPA,Physical Gas,YEU
Sonat Z0 South Physical Fixed Price Spot,15935,YET,YET,,,Natural Gas,ST1 SPPhys Gas,NGXC,IEPA,Physical Gas,YET
Sonat Z0 South Physical Gas Daily Monthly,15937,YEX,YEX,,,Natural Gas,ST1 MOPhys Gas,NGXC,IEPA,Physical Gas,YEX
